full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
fábio_ferreira vieira,Arsenal,MD,5.5,5,Brighton,False,0,0,23,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-88,633,0,88
reiss_nelson,Arsenal,MD,5.5,5,Brighton,False,0,0,24,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-66,500,0,66
viktor_gyökeres,Arsenal,FW,7.2,5,Brighton,False,17,1,25,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,5,0.0,14.6,0.0,1.4,0,0,0,0,0,0.00,0.23,0.23,0.54,72,-51870,342393,5156,57026
kai_havertz,Arsenal,FW,7.6,5,Brighton,False,90,2,26,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,3,0,0,0,0,0,0,0,5,5.2,5.3,28.0,3.9,2,1,0,3,1,0.78,0.02,0.80,1.31,76,44371,915557,147342,102971
gabriel_fernando de jesus,Arsenal,FW,5.9,5,Brighton,False,0,0,27,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,59,-2292,16588,0,2292
ezri_konsa ngoyo,Arsenal,DF,4.5,5,Brighton,False,90,1,31,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,3,0,0,0,0,0,0,0,2,10.6,12.3,10.0,3.3,4,3,0,4,1,0.23,0.01,0.24,1.31,45,277564,2062931,343094,65530
bruno_guimarães rodriguez moura,Arsenal,MD,6.7,5,Brighton,False,59,1,452,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,3,0,0,0,0,0,0,0,12,4.2,1.8,6.0,1.2,2,4,0,6,1,0.00,0.01,0.01,0.61,67,6316,192568,16199,9883
christos_tzolis,Arsenal,MD,6.4,5,Brighton,False,72,2,557,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,3,0,0,0,0,0,0,0,9,5.0,6.2,6.0,1.7,1,1,1,3,1,0.00,0.07,0.07,0.77,64,-263333,1417272,39605,302938
marco_bizot,Aston Villa,GK,4.5,5,Spurs,False,0,0,29,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-1076,13259,416,1492
lucas_digne,Aston Villa,DF,4.5,5,Spurs,False,0,0,30,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-431,5450,0,431
