date,week,home,away,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
20-09-10,1,Chiefs,Texans,-9.0,34,20,0.0,0.0,6.3,0.0,0.0,-2.4,-1,,
20-09-13,1,Falcons,Seahawks,1.0,25,38,-2.0,0.0,-3.1,0.0,0.0,2.9,-2,,
20-09-13,1,Bills,Jets,-6.5,27,17,0.0,0.0,3.1,-2.0,0.0,4.4,0,,
20-09-13,1,Panthers,Raiders,3.0,30,34,3.0,0.0,-5.4,0.0,0.0,-5.6,2,,
20-09-13,1,Lions,Bears,-2.5,23,27,0.0,0.0,-13.3,-2.0,0.0,1.1,0,,
20-09-13,1,Ravens,Browns,-7.0,38,6,3.0,0.0,10.7,2.0,0.0,0.7,1,,
20-09-13,1,Jaguars,Colts,8.0,27,20,-1.0,0.0,-8.0,1.0,0.0,0.2,-3,Colts,L
20-09-13,1,Vikings,Packers,-2.5,34,43,0.0,0.0,-2.9,3.0,0.0,0.8,-2,,
20-09-13,1,Patriots,Dolphins,-7.0,21,11,1.0,0.0,7.4,-2.0,0.0,-6.6,3,Patriots,W
20-09-13,1,Commanders,Eagles,5.0,27,17,1.0,0.0,-8.7,0.0,0.0,-0.5,0,,
20-09-13,1,Bengals,Chargers,3.0,13,16,-2.0,0.0,-4.1,1.0,0.0,-1.5,-1,,
20-09-13,1,49ers,Cardinals,-6.5,20,24,0.0,0.0,8.3,5.0,0.0,-1.1,0,,
20-09-13,1,Saints,Buccaneers,-3.5,34,23,1.0,0.0,10.8,2.0,0.0,-5.5,1,,
20-09-13,1,Rams,Cowboys,2.0,20,17,-5.0,0.0,3.5,-1.0,0.0,2.0,1,,
20-09-14,1,Giants,Steelers,5.5,16,26,2.0,0.0,-6.3,0.0,0.0,11.0,0,,
20-09-14,1,Broncos,Titans,3.0,14,16,0.0,0.0,-5.0,0.0,0.0,6.6,-1,,
20-09-17,2,Browns,Bengals,-6.0,35,30,2.0,-1.0,0.4,2.0,0.0,-5.3,0,,
20-09-20,2,Cowboys,Falcons,-3.5,40,39,-1.0,-1.0,6.5,2.0,-1.0,-1.7,-1,,
20-09-20,2,Dolphins,Bills,5.5,28,31,2.0,-1.0,-4.8,0.0,1.0,0.9,2,,
20-09-20,2,Buccaneers,Panthers,-8.0,31,17,3.0,-1.0,0.3,0.0,-1.0,-9.7,2,,
20-09-20,2,Bears,Giants,-5.5,17,13,-1.0,1.0,-1.9,1.0,-1.0,-2.0,-5,Giants,W
20-09-20,2,Colts,Vikings,-3.0,28,11,2.0,-1.0,-0.6,1.0,-1.0,-1.1,-1,,
20-09-20,2,Steelers,Broncos,-6.5,26,21,-1.0,1.0,6.7,1.0,1.0,-1.0,-1,,
20-09-20,2,Packers,Lions,-6.0,42,21,-1.0,1.0,2.0,1.0,-1.0,-6.4,-3,Lions,L
20-09-20,2,Titans,Jaguars,-7.5,33,30,-1.0,-1.0,5.6,-2.0,1.0,-9.8,3,Titans,L
20-09-20,2,Jets,49ers,7.0,13,31,0.0,-1.0,-0.5,-1.0,-1.0,4.9,2,,
20-09-20,2,Eagles,Rams,-1.5,19,37,3.0,-1.0,3.8,1.0,1.0,2.6,1,,
20-09-20,2,Cardinals,Commanders,-7.0,30,15,1.0,1.0,-0.5,-3.0,1.0,-4.2,1,,
20-09-20,2,Texans,Ravens,7.0,16,33,1.0,-1.0,-0.8,-2.0,1.0,5.8,5,Texans,L
20-09-20,2,Chargers,Chiefs,8.5,20,23,-2.0,0.0,-0.0,-1.0,1.0,5.9,2,,
20-09-20,2,Seahawks,Patriots,-4.0,35,30,-2.0,1.0,1.4,-2.0,1.0,3.1,-1,,
20-09-21,2,Raiders,Saints,5.5,34,24,0.0,1.0,-3.7,-3.0,1.0,4.2,0,,
20-09-24,3,Jaguars,Dolphins,-3.0,13,31,2.0,2.0,-3.5,-1.0,0.0,-8.4,2,,
20-09-27,3,Falcons,Bears,-3.0,26,30,-3.0,0.0,1.8,0.0,0.0,0.4,-2,,
20-09-27,3,Bills,Rams,-2.0,35,32,1.0,0.0,-0.9,-2.0,2.0,1.9,2,,
20-09-27,3,Eagles,Bengals,-4.5,23,23,2.0,-2.0,1.3,0.0,1.0,-6.5,4,Eagles,L
20-09-27,3,Browns,Commanders,-7.0,34,20,0.0,-2.0,-2.4,1.0,0.0,-5.3,-1,,
20-09-27,3,Steelers,Texans,-4.0,28,21,0.0,0.0,4.7,2.0,-2.0,-3.7,-1,,
20-09-27,3,Vikings,Titans,2.5,30,31,2.0,-2.0,1.9,-2.0,-2.0,3.3,3,Vikings,W
20-09-27,3,Patriots,Raiders,-6.5,36,20,0.0,0.0,0.7,0.0,2.0,-2.8,0,,
20-09-27,3,Giants,49ers,3.0,9,36,0.0,0.0,-2.9,1.0,0.0,6.3,-2,,
20-09-27,3,Chargers,Panthers,-6.5,16,21,1.0,1.0,-2.7,2.0,-2.0,-6.9,-3,Panthers,W
20-09-27,3,Colts,Jets,-11.5,36,7,-2.0,0.0,3.5,-1.0,-2.0,-2.8,-2,,
20-09-27,3,Cardinals,Lions,-5.5,23,26,-1.0,2.0,-0.4,1.0,-2.0,-2.0,-5,Lions,W
20-09-27,3,Seahawks,Cowboys,-5.0,38,31,0.0,2.0,2.7,3.0,-2.0,4.0,-4,Cowboys,L
20-09-27,3,Broncos,Buccaneers,6.0,10,28,0.0,2.0,-0.1,-2.0,0.0,-0.5,1,,
20-09-27,3,Saints,Packers,-3.0,30,37,0.0,0.0,5.0,-1.0,2.0,3.1,1,,
20-09-28,3,Ravens,Chiefs,-3.0,20,34,-2.0,2.0,4.6,-1.0,0.0,6.6,-2,,
20-10-01,4,Jets,Broncos,-1.5,28,37,3.0,-3.0,-4.8,2.0,1.0,-4.2,1,,
20-10-04,4,Panthers,Cardinals,3.0,31,21,-4.0,-1.0,-5.3,3.0,1.0,-0.1,-1,,
20-10-04,4,Bears,Colts,3.0,11,19,1.0,1.0,0.8,-3.0,1.0,3.0,3,Bears,L
20-10-04,4,Bengals,Jaguars,-2.5,33,25,-2.0,2.0,-3.5,2.0,1.0,-4.9,-3,Jaguars,L
20-10-04,4,Cowboys,Browns,-3.5,38,49,2.0,-3.0,2.3,-5.0,-1.0,-0.3,1,,
20-10-04,4,Lions,Saints,3.0,29,35,-3.0,-1.0,-1.9,1.0,-1.0,5.0,-3,Saints,W
20-10-04,4,Texans,Vikings,-3.5,23,31,1.0,-3.0,-1.6,2.0,-1.0,-0.1,-1,,
20-10-04,4,Dolphins,Seahawks,5.5,23,31,-2.0,1.0,-6.2,-2.0,3.0,3.5,-1,,
20-10-04,4,Commanders,Ravens,14.0,17,31,5.0,-1.0,-5.0,0.0,1.0,6.1,4,Commanders,
20-10-04,4,Buccaneers,Chargers,-7.0,38,31,-2.0,1.0,3.0,4.0,0.0,-1.9,-4,Chargers,
20-10-04,4,Rams,Giants,-13.0,17,9,0.0,1.0,0.4,3.0,-1.0,-2.9,-4,Giants,W
20-10-04,4,Raiders,Bills,3.0,23,30,2.0,1.0,-2.3,0.0,1.0,-0.5,2,,
20-10-04,4,49ers,Eagles,-7.5,20,25,-3.0,1.0,4.1,2.0,-3.0,-0.7,-5,Eagles,W
20-10-05,4,Chiefs,Patriots,-7.0,26,10,0.0,1.0,6.7,-2.0,1.0,1.6,0,,
20-10-05,4,Packers,Falcons,-7.0,30,16,-1.0,3.0,4.0,-1.0,-1.0,1.2,-3,Falcons,L
20-10-08,5,Bears,Buccaneers,3.5,20,19,1.0,0.0,-2.4,-1.0,1.0,2.7,2,,
20-10-11,5,Falcons,Panthers,-2.5,16,23,0.0,-2.0,-1.3,0.0,0.0,-5.3,2,,
20-10-11,5,Ravens,Bengals,-11.0,27,3,1.0,1.0,9.5,0.0,3.0,-3.8,2,,
20-10-11,5,Jets,Cardinals,7.0,10,30,-3.0,-4.0,-5.6,0.0,0.0,0.1,1,,
20-10-11,5,Texans,Jaguars,-5.5,30,14,1.0,-4.0,0.2,0.0,0.0,-3.6,1,,
20-10-11,5,Chiefs,Raiders,-10.5,32,40,-3.0,2.0,7.8,2.0,0.0,-2.5,-4,Raiders,W
20-10-11,5,Steelers,Eagles,-7.0,38,29,-1.0,1.0,0.8,-2.0,-2.0,-1.3,-3,Eagles,L
20-10-11,5,Commanders,Rams,7.0,10,30,-1.0,-1.0,-6.2,0.0,0.0,3.0,-1,,
20-10-11,5,49ers,Dolphins,-7.5,17,43,2.0,0.0,2.6,1.0,0.0,-4.4,-1,,
20-10-11,5,Browns,Colts,-1.0,32,23,-3.0,0.0,0.0,-1.0,2.0,3.2,0,,
20-10-11,5,Cowboys,Giants,-8.0,37,34,3.0,-4.0,1.2,0.0,0.0,-5.8,1,,
20-10-11,5,Seahawks,Vikings,-6.5,27,26,-1.0,4.0,3.7,-1.0,0.0,-0.1,-2,,
20-10-12,5,Saints,Chargers,-7.0,30,27,0.0,0.0,3.8,1.0,0.0,-1.5,-2,,
20-10-13,5,Titans,Bills,3.5,42,16,-2.0,-3.0,3.6,-2.0,2.0,2.8,3,Titans,W
20-10-18,6,Patriots,Broncos,-8.0,12,18,3.0,0.0,3.4,3.0,2.0,-5.6,2,,
20-10-18,6,Jaguars,Lions,3.0,16,34,0.0,-1.0,-2.3,0.0,-2.0,-1.6,1,,
20-10-18,6,Vikings,Falcons,-4.0,23,40,1.0,1.0,-0.8,1.0,-3.0,-3.1,-3,Falcons,W
20-10-18,6,Panthers,Bears,-1.5,16,23,-1.0,1.0,-3.1,0.0,1.0,-3.7,-2,,
20-10-18,6,Colts,Bengals,-7.5,31,27,0.0,1.0,1.3,2.0,2.0,-1.5,-2,,
20-10-18,6,Steelers,Browns,-3.0,38,7,-1.0,2.0,1.4,0.0,1.0,-0.8,-2,,
20-10-18,6,Titans,Texans,-3.5,42,36,-3.0,-2.0,0.9,0.0,-3.0,-0.0,-2,,
20-10-18,6,Giants,Commanders,-2.5,20,19,-1.0,1.0,-5.4,-1.0,-2.0,-6.3,-3,Commanders,W
20-10-18,6,Eagles,Ravens,10.0,28,30,1.0,-3.0,-2.0,-2.0,2.0,8.0,4,Eagles,W
20-10-18,6,Dolphins,Jets,-9.0,24,0,-3.0,1.0,-3.5,-1.0,-5.0,-7.7,-3,Jets,L
20-10-18,6,Buccaneers,Packers,1.0,38,10,0.0,0.0,3.0,0.0,4.0,1.8,2,,
20-10-18,6,49ers,Rams,2.5,24,16,3.0,-1.0,1.5,1.0,1.0,4.1,1,,
20-10-19,6,Bills,Chiefs,5.0,17,26,3.0,1.0,6.2,0.0,1.0,7.7,2,,
20-10-19,6,Cowboys,Cardinals,1.0,10,38,1.0,-5.0,-0.3,1.0,1.0,2.0,1,,
20-10-22,7,Eagles,Giants,-4.5,22,21,1.0,-2.0,-4.4,-1.0,0.0,-6.0,2,,
20-10-25,7,Texans,Packers,3.0,20,35,-2.0,-4.0,-1.8,2.0,3.0,6.0,-1,,
20-10-25,7,Titans,Steelers,-1.0,24,27,2.0,-1.0,-1.5,-2.0,3.0,-0.5,3,Titans,L
20-10-25,7,Falcons,Lions,-2.0,22,23,-2.0,-2.0,-2.3,-1.0,-1.0,1.4,-1,,
20-10-25,7,Jets,Bills,10.0,10,18,-1.0,-6.0,-8.0,0.0,0.0,3.0,-1,,
20-10-25,7,Saints,Panthers,-6.5,27,24,1.0,-1.0,5.7,2.0,0.0,-3.2,2,,
20-10-25,7,Bengals,Browns,3.0,34,37,-1.0,3.0,-2.2,2.0,0.0,-0.5,-2,,
20-10-25,7,Commanders,Cowboys,-1.0,25,3,1.0,-1.0,-5.7,4.0,-6.0,-0.8,-1,,
20-10-25,7,Raiders,Buccaneers,3.5,20,45,0.0,1.0,-0.0,-2.0,1.0,3.1,2,,
20-10-25,7,Broncos,Chiefs,7.0,16,43,-1.0,3.0,-3.8,0.0,2.0,9.3,-2,,
20-10-25,7,Patriots,49ers,-3.0,6,33,1.0,-1.0,2.2,-1.0,0.0,0.0,2,,
20-10-25,7,Chargers,Jaguars,-7.5,39,29,-1.0,1.0,0.8,1.0,-2.0,-4.0,-5,Jaguars,L
20-10-25,7,Cardinals,Seahawks,3.5,37,34,-4.0,2.0,2.9,-1.0,3.0,2.7,1,,
20-10-26,7,Rams,Bears,-6.0,24,10,1.0,0.0,4.9,-2.0,2.0,-2.5,4,Rams,W
20-10-29,8,Panthers,Falcons,-2.0,17,25,-1.0,1.0,-0.7,1.0,-3.0,0.0,-5,Falcons,W
20-11-01,8,Lions,Colts,3.0,21,41,-1.0,0.0,1.0,1.0,0.0,2.6,-1,,
20-11-01,8,Packers,Vikings,-6.5,22,28,-1.0,4.0,6.1,2.0,0.0,1.3,-4,Vikings,W
20-11-01,8,Dolphins,Rams,3.5,28,17,1.0,2.0,-3.8,-1.0,1.0,4.0,1,,
20-11-01,8,Ravens,Steelers,-4.0,24,28,-1.0,1.0,7.6,3.0,4.0,0.7,-1,,
20-11-01,8,Bills,Patriots,-4.5,24,21,-1.0,-1.0,2.4,2.0,-2.0,0.6,-3,Patriots,W
20-11-01,8,Bengals,Titans,7.0,31,20,1.0,3.0,-3.3,-3.0,-2.0,-1.4,1,,
20-11-01,8,Browns,Raiders,-1.5,6,16,-1.0,0.0,1.5,1.0,0.0,-2.2,-1,,
20-11-01,8,Chiefs,Jets,-19.5,35,9,-3.0,3.0,7.1,1.0,-5.0,-9.9,-5,Jets,L
20-11-01,8,Broncos,Chargers,3.5,31,30,3.0,2.0,-3.8,-1.0,2.0,0.0,1,,
20-11-01,8,Seahawks,49ers,-3.0,37,27,1.0,2.0,6.5,-2.0,1.0,-0.0,3,Seahawks,W
20-11-01,8,Bears,Saints,4.0,23,26,1.0,1.0,0.2,1.0,-2.0,3.4,-1,,
20-11-01,8,Eagles,Cowboys,-11.5,23,9,-2.0,-3.0,-4.8,1.0,-7.0,-2.9,-3,Cowboys,L
20-11-02,8,Giants,Buccaneers,12.5,23,25,2.0,1.0,-6.4,-1.0,2.0,4.0,3,Giants,W
20-11-05,9,49ers,Packers,7.5,17,34,2.0,0.0,1.0,1.0,3.0,7.3,2,,
20-11-08,9,Colts,Ravens,1.0,10,24,-2.0,1.0,4.5,3.0,0.0,5.5,-3,Ravens,W
20-11-08,9,Vikings,Lions,-4.0,34,20,-1.0,1.0,2.9,2.0,-1.0,-0.0,-5,Lions,L
20-11-08,9,Jaguars,Texans,6.5,25,27,1.0,-3.0,-3.2,1.0,-5.0,1.3,1,,
20-11-08,9,Falcons,Broncos,-4.0,34,27,0.0,-2.0,0.5,-1.0,3.0,-3.8,4,Falcons,W
20-11-08,9,Bills,Seahawks,3.0,44,34,0.0,-2.0,2.8,-2.0,3.0,1.7,4,Bills,W
20-11-08,9,Chiefs,Panthers,-10.0,33,31,-1.0,4.0,7.2,0.0,0.0,0.1,-3,Panthers,W
20-11-08,9,Titans,Bears,-6.5,24,17,1.0,-3.0,3.0,1.0,2.0,-0.5,1,,
20-11-08,9,Commanders,Giants,-2.5,20,23,-1.0,0.0,-10.1,1.0,2.0,-8.5,-2,,
20-11-08,9,Chargers,Raiders,1.0,26,31,1.0,1.0,2.2,-1.0,1.0,1.5,3,Chargers,L
20-11-08,9,Cardinals,Dolphins,-5.5,31,34,-1.0,3.0,-4.4,-2.0,3.0,-3.5,-1,,
20-11-08,9,Cowboys,Steelers,14.0,19,24,-2.0,-8.0,-10.0,-3.0,5.0,3.9,3,Cowboys,W
20-11-08,9,Buccaneers,Saints,-4.0,3,38,-1.0,1.0,6.7,-1.0,-3.0,5.6,-3,Saints,W
20-11-09,9,Jets,Patriots,9.5,27,30,1.0,-6.0,-9.9,0.0,-1.0,1.2,0,,
20-11-12,10,Titans,Colts,-1.0,17,34,-2.0,-2.0,4.6,1.0,0.0,4.9,-2,,
20-11-15,10,Browns,Texans,-4.0,10,7,1.0,-1.0,3.1,0.0,-6.0,4.1,0,,
20-11-15,10,Lions,Commanders,-3.0,30,27,3.0,-2.0,0.5,5.0,-1.0,-9.0,1,,
20-11-15,10,Packers,Jaguars,-14.0,24,20,-2.0,4.0,9.1,0.0,-2.0,-5.1,-2,,
20-11-15,10,Panthers,Buccaneers,6.0,23,46,-1.0,1.0,-1.6,1.0,0.0,7.6,-4,Buccaneers,W
20-11-15,10,Giants,Eagles,4.0,27,17,-5.0,3.0,-7.9,2.0,-2.0,-3.3,-5,Eagles,L
20-11-15,10,Raiders,Broncos,-3.5,37,12,0.0,2.0,4.1,0.0,2.0,-4.1,1,,
20-11-15,10,Dolphins,Chargers,-2.0,29,21,-1.0,4.0,-5.6,0.0,0.0,0.7,-3,Chargers,L
20-11-15,10,Cardinals,Bills,-2.5,32,30,1.0,2.0,-3.5,-4.0,-1.0,-2.0,-1,,
20-11-15,10,Steelers,Bengals,-7.0,36,10,-2.0,4.0,6.9,-1.0,4.0,-3.9,1,,
20-11-15,10,Saints,49ers,-9.5,27,13,-1.0,-2.0,6.1,2.0,-1.0,-0.5,-3,49ers,L
20-11-15,10,Rams,Seahawks,-3.0,23,16,2.0,0.0,2.2,4.0,2.0,2.6,0,,
20-11-15,10,Patriots,Ravens,7.0,23,17,-1.0,-2.0,-1.3,-1.0,1.0,8.7,1,,
20-11-16,10,Bears,Vikings,3.0,13,19,2.0,1.0,0.2,-3.0,2.0,2.6,3,Bears,L
20-11-19,11,Seahawks,Cardinals,-3.0,28,21,2.0,1.0,2.5,0.0,1.0,-2.0,2,,
20-11-22,11,Saints,Falcons,-3.5,24,9,-2.0,-1.0,5.2,0.0,-1.0,-1.1,0,,
20-11-22,11,Commanders,Bengals,-1.5,20,9,1.0,-1.0,-3.9,2.0,3.0,-0.8,1,,
20-11-22,11,Browns,Eagles,-3.0,22,17,0.0,-2.0,2.9,0.0,-3.0,0.6,-1,,
20-11-22,11,Texans,Patriots,2.5,27,20,0.0,-5.0,2.6,-1.0,-1.0,-1.9,2,,
20-11-22,11,Jaguars,Steelers,10.5,3,27,-1.0,-1.0,-5.1,-2.0,5.0,5.0,3,Jaguars,L
20-11-22,11,Ravens,Titans,-6.0,24,30,1.0,0.0,7.9,0.0,-3.0,3.2,-1,,
20-11-22,11,Panthers,Lions,1.5,20,0,0.0,0.0,-1.5,-1.0,-2.0,-1.9,1,,
20-11-22,11,Broncos,Dolphins,3.5,20,13,5.0,1.0,-2.0,0.0,5.0,-3.4,2,,
20-11-22,11,Chargers,Jets,-9.5,34,28,0.0,-1.0,-1.6,1.0,-5.0,-13.6,0,,
