date,home,away,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
13-10-13,Jets,Steelers,0.0,6,19,-1.0,3.0,-5.1,2.0,-4.0,-1.7,-5,Steelers,W
13-10-13,Patriots,Saints,-2.5,30,27,-0.0,-1.0,2.8,-1.0,3.0,3.5,2,,
13-10-13,Ravens,Packers,3.0,17,19,2.0,1.0,-0.6,0.0,0.0,4.8,-1,,
13-10-13,Seahawks,Titans,-13.5,20,13,-0.0,3.0,7.8,1.0,2.0,-3.3,-2,,
13-10-13,Texans,Rams,-7.5,13,38,4.0,-5.0,3.4,-3.0,-3.0,-0.2,1,,
13-10-13,Vikings,Panthers,-2.5,10,35,-2.0,0.0,-5.7,1.0,-2.0,1.2,-4,Panthers,W
13-10-14,Chargers,Colts,1.5,19,9,5.0,2.0,-1.5,0.0,1.0,1.5,0,,
13-10-17,Cardinals,Seahawks,6.5,22,34,2.0,2.0,-3.5,0.0,2.0,6.5,0,,
13-10-20,Chiefs,Texans,-6.5,17,16,-2.0,4.0,-0.1,4.0,-6.0,2.1,-5,Texans,W
13-10-20,Colts,Broncos,6.5,39,33,1.0,0.0,1.1,1.0,2.0,11.1,0,,
13-10-20,Dolphins,Bills,-7.0,21,23,-2.0,1.0,0.8,0.0,2.0,-5.9,-2,,
13-10-20,Eagles,Cowboys,-3.0,3,17,-0.0,-0.0,1.7,-1.0,4.0,1.1,1,,
13-10-20,Falcons,Buccaneers,-6.5,31,23,1.0,-3.0,3.0,0.0,-3.0,-3.5,2,,
13-10-20,Jaguars,Chargers,7.5,6,24,-1.0,-4.0,-11.5,-1.0,3.0,-2.4,1,,
13-10-20,Jets,Patriots,3.5,30,27,2.0,2.0,-3.8,-1.0,0.0,4.4,0,,
13-10-20,Lions,Bengals,-2.5,24,27,-1.0,2.0,1.5,-0.0,1.0,2.4,-2,,
13-10-20,Packers,Browns,-9.5,31,13,1.0,-1.0,6.0,1.0,0.0,-4.6,2,,
13-10-20,Panthers,Rams,-7.0,30,15,-2.0,-1.0,-1.0,-4.0,-2.0,-2.2,-1,,
13-10-20,Redskins,Bears,0.0,45,41,1.0,-3.0,-1.2,-3.0,-3.0,2.8,1,,
13-10-20,Steelers,Ravens,-2.5,19,16,-2.0,-3.0,-0.1,-1.0,2.0,0.0,1,,
13-10-20,Titans,49ers,3.0,17,31,-0.0,3.0,-4.3,-2.0,2.0,4.5,0,,
13-10-21,Giants,Vikings,-3.0,23,7,3.0,-4.0,-0.8,2.0,-1.0,-2.3,-1,,
13-10-24,Buccaneers,Panthers,6.0,13,31,-0.0,-4.0,-2.5,-3.0,0.0,-0.7,3,Buccaneers,L
13-10-27,Bengals,Jets,-6.0,49,9,-0.0,2.0,3.4,0.0,3.0,-3.1,1,,
13-10-27,Broncos,Redskins,-12.0,45,21,2.0,1.0,11.3,0.0,-2.0,-0.4,-2,,
13-10-27,Cardinals,Falcons,-2.5,27,13,0.0,1.0,-4.3,0.0,-2.0,1.7,-3,Falcons,L
13-10-27,Chiefs,Browns,-7.5,23,17,1.0,3.0,1.2,1.0,-1.0,-2.2,-3,Browns,W
13-10-27,Eagles,Giants,-5.0,7,15,1.0,-1.0,2.1,-2.0,-3.0,-1.3,1,,
13-10-27,Jaguars,49ers,14.5,10,42,1.0,-5.0,-12.4,-2.0,3.0,2.3,3,Jaguars,L
13-10-27,Lions,Cowboys,-3.0,31,30,0.0,1.0,2.8,-1.0,5.0,2.0,0,,
13-10-27,Patriots,Dolphins,-6.5,27,17,-0.0,-1.0,4.0,2.0,0.0,-0.2,-1,,
13-10-27,Raiders,Steelers,2.5,21,18,2.0,0.0,-6.1,1.0,-2.0,0.1,-2,,
13-10-27,Saints,Bills,-11.0,35,17,1.0,2.0,4.9,-2.0,3.0,-4.5,1,,
13-10-27,Vikings,Packers,9.0,31,44,2.0,-2.0,-1.6,-1.0,0.0,5.2,4,Vikings,L
13-10-28,Rams,Seahawks,11.0,9,14,3.0,-3.0,-4.8,-0.0,3.0,5.7,4,Rams,W
13-10-31,Dolphins,Bengals,3.0,22,20,2.0,-1.0,0.4,-1.0,3.0,1.7,5,Dolphins,W
13-11-03,Bills,Chiefs,3.5,13,23,3.0,2.0,-4.0,-1.0,2.0,2.8,1,,
13-11-03,Browns,Ravens,2.5,24,18,1.0,0.0,-1.4,-1.0,1.0,1.0,4,Browns,W
13-11-03,Cowboys,Vikings,-10.0,27,23,-4.0,6.0,1.2,0.0,-3.0,-3.4,-4,Vikings,W
13-11-03,Jets,Saints,6.5,26,20,1.0,2.0,-2.1,-3.0,3.0,4.3,3,Jets,W
13-11-03,Panthers,Falcons,-7.5,34,10,-1.0,1.0,0.5,3.0,-3.0,-1.8,-5,Falcons,L
13-11-03,Patriots,Steelers,-6.0,55,31,-2.0,0.0,4.0,-1.0,-3.0,0.6,-2,,
13-11-03,Raiders,Eagles,-2.0,20,49,1.0,1.0,-4.9,2.0,-2.0,-0.2,-3,Eagles,W
13-11-03,Rams,Titans,3.0,21,28,2.0,-2.0,-4.8,2.0,2.0,-2.0,3,Rams,L
13-11-03,Redskins,Chargers,0.0,30,24,1.0,-3.0,0.2,-1.0,4.0,-2.0,5,Redskins,W
13-11-03,Seahawks,Buccaneers,-14.5,27,24,-2.0,2.0,8.4,1.0,-5.0,-7.2,-3,Buccaneers,W
13-11-03,Texans,Colts,2.5,24,27,-1.0,-5.0,-0.3,-2.0,1.0,1.3,3,Texans,L
13-11-04,Packers,Bears,-10.5,20,27,-0.0,1.0,7.2,-0.0,-4.0,2.4,-3,Bears,W
13-11-07,Vikings,Redskins,2.5,34,27,1.0,-2.0,-4.1,-1.0,-2.0,-1.6,3,Vikings,W
13-11-10,49ers,Panthers,-6.0,9,10,-0.0,4.0,4.7,-2.0,2.0,-0.1,0,,
13-11-10,Bears,Lions,2.5,19,21,-1.0,-3.0,0.4,4.0,0.0,2.8,0,,
13-11-10,Cardinals,Texans,-3.5,27,24,-3.0,2.0,-4.3,0.0,-6.0,-2.5,-4,Texans,W
13-11-10,Chargers,Broncos,7.0,20,28,1.0,3.0,0.5,-1.0,2.0,9.3,1,,
13-11-10,Colts,Rams,-9.5,8,38,-0.0,2.0,2.6,0.0,-3.0,-7.5,-1,,
13-11-10,Falcons,Seahawks,6.0,10,33,2.0,-4.0,-4.3,3.0,1.0,5.3,1,,
13-11-10,Giants,Raiders,-7.5,24,20,-2.0,-2.0,-3.5,2.0,0.0,-2.5,-2,,
13-11-10,Packers,Eagles,-1.5,13,27,1.0,0.0,7.6,-2.0,-1.0,-1.0,2,,
13-11-10,Ravens,Bengals,1.5,20,17,1.0,0.0,3.5,3.0,2.0,4.1,2,,
13-11-10,Saints,Cowboys,-7.0,49,17,2.0,2.0,6.9,-1.0,5.0,2.1,1,,
13-11-10,Steelers,Bills,-3.0,23,10,2.0,-4.0,2.2,3.0,1.0,-3.1,3,Steelers,W
13-11-10,Titans,Jaguars,-12.0,27,29,-0.0,3.0,-1.8,0.0,-6.0,-12.2,-3,Jaguars,W
13-11-11,Buccaneers,Dolphins,2.5,22,19,-3.0,-4.0,-7.2,-3.0,0.0,-0.6,0,,
13-11-14,Titans,Colts,3.0,27,30,2.0,2.0,-0.4,4.0,1.0,1.3,1,,
13-11-17,Bears,Ravens,-3.0,23,20,0.0,-2.0,-3.6,0.0,1.0,0.4,1,,
13-11-17,Bengals,Browns,-6.0,41,20,-0.0,1.0,4.4,-1.0,1.0,-4.0,2,,
13-11-17,Bills,Jets,1.0,37,14,-0.0,-0.0,-1.8,-2.0,3.0,-1.9,3,Bills,W
13-11-17,Broncos,Chiefs,-8.0,27,17,1.0,3.0,10.1,-3.0,3.0,2.8,1,,
13-11-17,Buccaneers,Falcons,0.0,41,28,0.0,-3.0,-5.8,1.0,-5.0,-2.3,-2,,
13-11-17,Dolphins,Chargers,1.5,20,16,-0.0,-1.0,-0.5,-1.0,2.0,0.7,4,Dolphins,W
13-11-17,Eagles,Redskins,-4.5,24,16,-1.0,0.0,2.0,-1.0,-3.0,-1.3,-2,,
13-11-17,Giants,Packers,-4.5,27,13,1.0,-3.0,0.7,1.0,-1.0,2.3,-1,,
13-11-17,Jaguars,Cardinals,8.0,14,27,-2.0,-5.0,-9.9,2.0,2.0,-3.2,1,,
13-11-17,Saints,49ers,-3.0,23,20,1.0,3.0,6.5,0.0,3.0,5.8,0,,
13-11-17,Seahawks,Vikings,-12.5,41,20,-1.0,2.0,6.6,1.0,-1.0,-6.2,-3,Vikings,L
13-11-17,Steelers,Lions,2.5,37,27,0.0,-3.0,-0.4,-0.0,-1.0,1.8,1,,
13-11-17,Texans,Raiders,-9.0,23,28,-2.0,-6.0,-3.3,-1.0,1.0,-2.7,1,,
13-11-18,Panthers,Patriots,-3.0,24,20,-0.0,3.0,2.4,-2.0,1.0,2.9,0,,
13-11-21,Falcons,Saints,9.0,13,17,3.0,-6.0,-3.6,2.0,3.0,6.5,1,,
13-11-24,Browns,Steelers,-1.5,11,27,2.0,0.0,-2.3,-3.0,-2.0,-2.2,0,,
13-11-24,Cardinals,Colts,-3.0,40,11,-2.0,3.0,0.1,-1.0,1.0,3.9,-1,,
13-11-24,Chiefs,Chargers,-4.5,38,41,-0.0,2.0,4.4,-0.0,1.0,1.3,-1,,
13-11-24,Dolphins,Panthers,4.5,16,20,0.0,0.0,-2.6,-2.0,4.0,1.9,3,Dolphins,W
13-11-24,Giants,Cowboys,-2.5,21,24,-2.0,-2.0,1.8,-1.0,4.0,2.3,1,,
13-11-24,Lions,Buccaneers,-8.5,21,24,3.0,-2.0,3.1,-3.0,-2.0,-7.1,3,Lions,L
13-11-24,Packers,Vikings,-4.0,26,26,2.0,-2.0,1.2,4.0,-2.0,-5.4,1,,
13-11-24,Patriots,Broncos,2.5,34,31,2.0,0.0,1.6,0.0,4.0,10.0,1,,
13-11-24,Raiders,Titans,1.0,19,23,-2.0,2.0,-3.9,1.0,2.0,-1.6,-3,Titans,W
13-11-24,Rams,Bears,-1.0,42,21,-4.0,-2.0,-5.0,-2.0,-2.0,-2.7,-1,,
13-11-24,Ravens,Jets,-3.5,19,3,2.0,1.0,-1.9,4.0,2.0,0.0,-1,,
13-11-24,Texans,Jaguars,-10.0,6,13,2.0,-7.0,1.0,2.0,-6.0,-10.9,1,,
13-11-25,Redskins,49ers,5.0,6,27,2.0,-4.0,-0.3,-2.0,3.0,6.0,3,Redskins,L
13-11-28,Cowboys,Raiders,-9.5,31,24,-0.0,5.0,2.4,2.0,1.0,-3.8,-2,,
13-11-28,Lions,Packers,-6.0,40,10,5.0,-3.0,0.6,-1.0,-3.0,-1.0,1,,
13-11-28,Ravens,Steelers,-3.0,22,20,-2.0,2.0,-2.4,-4.0,-1.0,-3.8,-3,Steelers,W
13-12-01,49ers,Rams,-9.0,23,13,-0.0,4.0,7.6,-3.0,-1.0,-4.8,0,,
13-12-01,Bills,Falcons,-3.5,31,34,-4.0,1.0,-5.2,1.0,-5.0,-3.4,-5,Falcons,W
13-12-01,Browns,Jaguars,-7.0,28,32,4.0,-1.0,-4.8,-1.0,-5.0,-6.5,1,,
13-12-01,Chargers,Bengals,-1.5,10,17,-2.0,2.0,0.8,-2.0,2.0,-0.1,-1,,
13-12-01,Chiefs,Broncos,4.5,28,35,2.0,1.0,2.6,1.0,3.0,8.5,-1,,
13-12-01,Colts,Titans,-4.0,22,14,1.0,0.0,4.4,-2.0,3.0,0.1,4,Colts,W
13-12-01,Eagles,Cardinals,-3.5,24,21,-2.0,1.0,0.4,-1.0,4.0,4.0,-1,,
13-12-01,Jets,Dolphins,-1.5,3,23,2.0,1.0,-2.3,0.0,1.0,-3.5,0,,
13-12-01,Panthers,Buccaneers,-8.5,27,6,-0.0,3.0,3.6,-5.0,-1.0,-5.9,0,,
13-12-01,Redskins,Giants,1.0,17,24,0.0,-5.0,-0.3,0.0,-3.0,1.3,-1,,
13-12-01,Texans,Patriots,7.5,31,34,1.0,-8.0,1.3,-1.0,1.0,2.9,5,Texans,W
13-12-01,Vikings,Bears,-1.0,23,20,1.0,-1.0,-3.1,3.0,-3.0,-3.4,-1,,
13-12-02,Seahawks,Saints,-5.5,34,7,-4.0,3.0,6.1,-1.0,2.0,8.0,-1,,
13-12-05,Jaguars,Texans,3.0,27,20,-2.0,-4.0,-8.9,0.0,-7.0,-2.4,-2,,
13-12-08,49ers,Seahawks,-2.5,19,17,0.0,5.0,4.8,-1.0,4.0,7.6,0,,
13-12-08,Bengals,Colts,-6.5,42,28,-1.0,3.0,2.0,-3.0,1.0,1.1,-1,,
13-12-08,Broncos,Titans,-12.0,51,28,1.0,4.0,11.3,3.0,2.0,-1.0,1,,
13-12-08,Buccaneers,Bills,-2.5,27,6,-0.0,-2.0,-3.3,1.0,0.0,-4.3,-1,,
13-12-08,Cardinals,Rams,-6.0,30,10,3.0,5.0,0.4,-0.0,-2.0,-2.1,-2,,
13-12-08,Chargers,Giants,-3.5,37,14,1.0,1.0,1.3,-0.0,-2.0,1.0,-2,,
13-12-08,Eagles,Lions,-3.0,34,20,-3.0,0.0,0.6,1.0,-2.0,2.3,-4,Lions,L
13-12-08,Jets,Raiders,-3.0,37,27,2.0,0.0,-2.5,1.0,2.0,-5.9,2,,
13-12-08,Packers,Falcons,-3.5,22,21,-1.0,-4.0,-1.0,-1.0,-4.0,-4.4,-1,,
13-12-08,Patriots,Browns,-10.0,27,26,-0.0,-0.0,6.8,2.0,-2.0,-4.2,-1,,
13-12-08,Ravens,Vikings,-6.0,29,26,0.0,1.0,-2.4,0.0,0.0,-3.0,-2,,
13-12-08,Redskins,Chiefs,3.0,10,45,0.0,-6.0,-2.4,-1.0,0.0,3.9,1,,
13-12-08,Saints,Panthers,-3.0,31,13,1.0,1.0,5.7,0.0,4.0,3.6,0,,
13-12-08,Steelers,Dolphins,-3.5,28,34,-0.0,-0.0,-2.7,-2.0,2.0,-2.1,1,,
13-12-09,Bears,Cowboys,1.0,45,28,-0.0,-4.0,-1.1,-1.0,4.0,1.2,2,,
13-12-12,Broncos,Chargers,-10.5,20,27,-2.0,5.0,9.6,-2.0,2.0,1.9,-1,,
13-12-15,Browns,Bears,1.0,31,38,-2.0,-1.0,-2.4,0.0,-3.0,-1.6,0,,
13-12-15,Buccaneers,49ers,5.0,14,33,-3.0,-1.0,-3.6,0.0,4.0,5.0,0,,
13-12-15,Colts,Texans,-5.5,25,3,-0.0,-0.0,1.0,2.0,-8.0,-2.6,-3,Texans,L
13-12-15,Cowboys,Packers,-6.5,36,37,-0.0,3.0,2.3,0.0,-5.0,-2.7,-3,Packers,W
13-12-15,Dolphins,Patriots,0.0,24,20,-0.0,3.0,-2.5,2.0,-1.0,5.4,-4,Patriots,L
13-12-15,Falcons,Redskins,-6.0,27,26,-0.0,-3.0,-3.8,1.0,-7.0,-2.7,-2,,
13-12-15,Giants,Seahawks,7.0,0,23,2.0,-3.0,1.3,-0.0,5.0,5.9,4,Giants,L
13-12-15,Jaguars,Bills,2.5,20,27,-2.0,-3.0,-8.2,3.0,-1.0,-3.5,-3,Bills,W
13-12-15,Panthers,Jets,-10.0,30,20,-0.0,3.0,3.9,0.0,1.0,-3.5,-1,,
13-12-15,Raiders,Chiefs,5.5,31,56,-0.0,1.0,-4.1,-1.0,1.0,3.1,0,,
13-12-15,Rams,Saints,6.5,27,16,1.0,-3.0,-1.9,0.0,2.0,4.4,4,Rams,W
13-12-15,Steelers,Bengals,2.5,30,20,0.0,-1.0,-1.9,0.0,4.0,3.9,1,,
13-12-15,Titans,Cardinals,3.0,34,37,2.0,1.0,0.0,-1.0,6.0,1.0,3,Titans,
13-12-15,Vikings,Eagles,6.5,48,30,-2.0,1.0,-4.1,-2.0,1.0,1.1,1,,
13-12-16,Lions,Ravens,-6.0,16,18,2.0,-3.0,1.2,2.0,0.0,-1.6,0,,
13-12-22,Bengals,Vikings,-8.0,42,14,-0.0,3.0,3.2,0.0,2.0,-4.7,-1,,
13-12-22,Bills,Dolphins,2.5,19,0,-2.0,0.0,-2.5,0.0,4.0,-1.2,1,,
13-12-22,Chargers,Raiders,-10.0,26,13,-1.0,3.0,0.4,6.0,0.0,-5.1,-4,Raiders,L
13-12-22,Chiefs,Colts,-6.5,7,23,-6.0,2.0,2.4,-1.0,1.0,-0.7,-1,,
13-12-22,Eagles,Bears,-3.0,54,11,-0.0,-0.0,3.9,1.0,-2.0,-1.4,-1,,
13-12-22,Jaguars,Titans,5.0,16,20,2.0,-4.0,-8.7,3.0,1.0,-2.4,1,,
13-12-22,Jets,Browns,-2.5,24,13,1.0,1.0,-3.0,-1.0,-2.0,-4.9,-1,,
13-12-22,Lions,Giants,-9.5,20,23,3.0,-4.0,2.4,4.0,-4.0,-0.8,-1,,
13-12-22,Packers,Steelers,-2.5,31,38,-1.0,-4.0,-1.6,0.0,0.0,-1.8,-1,,
13-12-22,Panthers,Saints,-3.0,17,13,-1.0,3.0,4.9,3.0,1.0,6.9,-3,Saints,L
13-12-22,Rams,Buccaneers,-4.0,23,13,-3.0,-2.0,-1.7,2.0,-2.0,-2.1,-3,Buccaneers,L
13-12-22,Ravens,Patriots,-2.5,7,41,-3.0,1.0,-1.2,-0.0,-2.0,2.6,-4,Patriots,W
13-12-22,Redskins,Cowboys,3.0,23,24,5.0,-6.0,-4.4,1.0,2.0,1.9,1,,
13-12-22,Seahawks,Cardinals,-10.5,10,17,-4.0,6.0,8.5,-3.0,6.0,2.7,-1,,
13-12-22,Texans,Broncos,10.0,13,37,1.0,-9.0,-3.6,1.0,4.0,7.8,1,,
13-12-23,49ers,Falcons,-13.0,34,24,-2.0,5.0,6.1,-5.0,-4.0,-2.1,-3,Falcons,W
13-12-29,Bears,Packers,2.5,28,33,1.0,-3.0,1.6,0.0,-5.0,-1.5,2,,
13-12-29,Bengals,Ravens,-6.0,34,17,-3.0,4.0,2.5,4.0,0.0,1.5,-4,Ravens,L
13-12-29,Cardinals,49ers,0.0,20,23,2.0,7.0,1.9,-2.0,4.0,6.6,1,,
