date,home,away,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
13-09-05,Broncos,Ravens,-7.5,49,27,2.0,0.0,10.2,-1.0,0.0,4.7,1,,
13-09-08,49ers,Packers,-4.5,34,28,1.0,0.0,5.8,1.0,0.0,5.5,-1,,
13-09-08,Bears,Bengals,-3.0,24,21,-4.0,0.0,1.3,-0.0,-0.0,3.5,-2,,
13-09-08,Bills,Patriots,10.5,21,23,-1.0,0.0,-2.2,3.0,0.0,9.7,-3,Patriots,L
13-09-08,Browns,Dolphins,-2.0,10,23,4.0,0.0,-2.1,2.0,0.0,0.9,-1,,
13-09-08,Colts,Raiders,-10.5,21,17,-0.0,-0.0,-0.5,1.0,0.0,-6.3,-2,,
13-09-08,Cowboys,Giants,-3.5,36,31,3.0,0.0,-0.4,-1.0,0.0,3.4,1,,
13-09-08,Jaguars,Chiefs,4.0,2,28,3.0,0.0,-5.7,-1.0,0.0,-5.5,3,Jaguars,L
13-09-08,Jets,Buccaneers,4.0,18,17,1.0,0.0,-2.7,1.0,0.0,-0.9,1,,
13-09-08,Lions,Vikings,-4.0,34,24,4.0,0.0,-4.1,3.0,0.0,-1.8,-1,,
13-09-08,Panthers,Seahawks,3.0,7,12,-0.0,-0.0,-2.0,-0.0,-0.0,2.4,-1,,
13-09-08,Rams,Cardinals,-3.5,27,24,1.0,0.0,-3.6,2.0,0.0,-8.1,1,,
13-09-08,Saints,Falcons,-3.0,23,17,0.0,0.0,0.3,1.0,0.0,-0.1,-2,,
13-09-08,Steelers,Titans,-6.5,9,16,-4.0,0.0,4.3,-3.0,0.0,-4.2,1,,
13-09-09,Chargers,Texans,4.0,28,31,-1.0,0.0,-1.3,1.0,0.0,4.7,-3,Texans,L
13-09-09,Redskins,Eagles,-3.5,27,33,1.0,0.0,-1.0,1.0,0.0,-4.1,-1,,
13-09-12,Patriots,Jets,-11.5,13,10,1.0,-1.0,9.7,0.0,1.0,-5.8,4,Patriots,L
13-09-15,Bears,Vikings,-6.0,31,30,-2.0,0.0,3.4,2.0,-1.0,-2.6,-4,Vikings,W
13-09-15,Bills,Panthers,3.0,24,23,-1.0,1.0,-3.8,1.0,-1.0,-3.1,-3,Panthers,L
13-09-15,Buccaneers,Saints,3.0,14,16,-0.0,-1.0,1.1,-1.0,1.0,0.6,4,Buccaneers,W
13-09-15,Cardinals,Lions,1.5,25,21,-0.0,1.0,-5.3,-2.0,1.0,-1.7,0,,
13-09-15,Chiefs,Cowboys,-3.0,17,16,-2.0,1.0,-1.9,-5.0,1.0,1.9,-1,,
13-09-15,Colts,Dolphins,-3.0,20,24,-2.0,-1.0,0.4,-2.0,1.0,-1.5,1,,
13-09-15,Eagles,Chargers,-7.5,30,33,-1.0,1.0,-2.2,0.0,1.0,-2.5,-2,,
13-09-15,Falcons,Rams,-6.5,31,24,1.0,-1.0,0.6,0.0,-1.0,-4.7,0,,
13-09-15,Giants,Broncos,4.5,23,41,5.0,-1.0,1.6,0.0,1.0,10.1,2,,
13-09-15,Packers,Redskins,-7.0,38,20,2.0,-1.0,5.5,1.0,-1.0,-1.8,1,,
13-09-15,Raiders,Jaguars,-5.5,19,9,2.0,1.0,-7.1,2.0,-1.0,-8.7,-3,Jaguars,L
13-09-15,Ravens,Browns,-6.5,14,6,-0.0,-1.0,5.4,2.0,-1.0,-2.6,0,,
13-09-15,Seahawks,49ers,-3.0,29,3,-1.0,1.0,2.8,-2.0,1.0,6.5,-1,,
13-09-15,Texans,Titans,-9.0,30,24,-0.0,-1.0,4.6,-2.0,1.0,-2.9,2,,
13-09-16,Bengals,Steelers,-7.0,20,10,2.0,0.0,3.4,2.0,-1.0,0.8,-2,,
13-09-19,Eagles,Chiefs,-3.0,16,26,-2.0,0.0,-0.6,-2.0,0.0,-1.3,-1,,
13-09-22,49ers,Colts,-10.0,7,27,4.0,0.0,5.2,0.0,-2.0,0.3,-1,,
13-09-22,Bengals,Packers,2.5,34,30,-2.0,1.0,3.5,0.0,0.0,4.1,-1,,
13-09-22,Cowboys,Rams,-3.5,31,7,2.0,2.0,-0.9,1.0,-2.0,-1.0,-3,Rams,L
13-09-22,Dolphins,Falcons,-2.5,27,23,-0.0,2.0,0.1,-1.0,0.0,3.0,-1,,
13-09-22,Jets,Bills,-2.5,27,20,4.0,2.0,-5.0,1.0,2.0,-8.1,1,,
13-09-22,Panthers,Giants,1.0,38,0,-1.0,-2.0,-1.7,3.0,-2.0,-0.8,-1,,
13-09-22,Patriots,Buccaneers,-7.0,23,3,-4.0,-2.0,4.5,0.0,0.0,-0.1,-1,,
13-09-22,Ravens,Texans,2.5,30,9,1.0,0.0,2.6,2.0,-2.0,1.9,0,,
13-09-22,Redskins,Lions,0.0,20,27,-0.0,-2.0,0.0,-0.0,-0.0,1.9,0,,
13-09-22,Saints,Cardinals,-7.0,31,7,-0.0,-0.0,4.9,0.0,2.0,-2.3,2,,
13-09-22,Seahawks,Jaguars,-19.5,45,17,-4.0,2.0,4.9,-1.0,-2.0,-8.9,-3,Jaguars,L
13-09-22,Steelers,Bears,2.0,23,40,2.0,-2.0,-0.5,1.0,-1.0,3.6,-1,,
13-09-22,Titans,Chargers,-3.5,20,17,-2.0,2.0,-4.1,2.0,2.0,-5.1,-3,Chargers,W
13-09-22,Vikings,Browns,-6.5,27,31,-1.0,0.0,0.6,-1.0,-2.0,-1.0,-2,,
13-09-23,Broncos,Raiders,-15.0,37,21,-3.0,2.0,7.1,1.0,2.0,-6.7,-3,Raiders,L
13-09-26,Rams,49ers,3.0,11,35,-0.0,-3.0,-1.1,2.0,-1.0,6.7,-2,,
13-09-29,Bills,Ravens,3.0,23,20,-2.0,1.0,-8.7,-1.0,1.0,0.5,-1,,
13-09-29,Broncos,Eagles,-11.0,52,20,2.0,3.0,6.2,5.0,-1.0,0.3,-3,Eagles,L
13-09-29,Browns,Bengals,4.0,17,6,1.0,-1.0,-2.2,0.0,2.0,1.7,4,Browns,W
13-09-29,Buccaneers,Cardinals,-2.5,10,13,-0.0,-1.0,-2.1,1.0,1.0,-1.0,0,,
13-09-29,Chargers,Cowboys,2.0,30,21,1.0,2.0,-3.2,0.0,3.0,-0.3,0,,
13-09-29,Chiefs,Giants,-4.0,31,7,-5.0,1.0,-0.3,1.0,-3.0,0.2,-5,Giants,L
13-09-29,Falcons,Patriots,-2.0,23,30,-0.0,-1.0,1.7,0.0,-1.0,2.1,-1,,
13-09-29,Jaguars,Colts,8.5,3,37,1.0,-3.0,-9.3,-2.0,-1.0,0.1,1,,
13-09-29,Lions,Bears,-3.0,40,32,-1.0,1.0,3.7,-5.0,0.0,3.6,-2,,
13-09-29,Raiders,Redskins,3.5,14,24,-2.0,1.0,-6.4,1.0,-3.0,1.2,-5,Redskins,W
13-09-29,Texans,Seahawks,2.5,20,23,1.0,-3.0,4.7,-1.0,3.0,6.4,5,Texans,L
13-09-29,Titans,Jets,-3.5,38,13,-1.0,2.0,-2.9,2.0,3.0,-8.4,-1,,
13-09-29,Vikings,Steelers,3.0,34,27,-1.0,-1.0,1.2,5.0,-3.0,-1.3,-1,,
13-09-30,Saints,Dolphins,-6.5,38,17,-1.0,1.0,3.0,0.0,3.0,0.5,-2,,
13-10-03,Browns,Bills,-3.5,37,24,-2.0,0.0,-4.9,-2.0,2.0,-7.5,0,,
13-10-06,49ers,Texans,-6.0,34,3,-0.0,-0.0,7.1,1.0,-4.0,2.1,-3,Texans,L
13-10-06,Bears,Saints,1.0,18,26,1.0,-1.0,3.6,-3.0,2.0,4.1,5,Bears,L
13-10-06,Bengals,Patriots,0.0,13,6,2.0,1.0,2.3,-1.0,0.0,3.3,0,,
13-10-06,Cardinals,Panthers,2.0,22,6,-0.0,2.0,-0.3,-1.0,-1.0,-2.7,0,,
13-10-06,Colts,Seahawks,3.0,34,28,-2.0,0.0,1.3,-1.0,4.0,7.1,0,,
13-10-06,Cowboys,Broncos,7.5,48,51,-0.0,2.0,0.3,0.0,4.0,6.7,1,,
13-10-06,Dolphins,Ravens,-3.0,23,26,3.0,2.0,0.7,2.0,0.0,-1.8,-2,,
13-10-06,Giants,Eagles,-1.5,21,36,-0.0,-4.0,-0.3,-0.0,-2.0,-0.7,-1,,
13-10-06,Packers,Lions,-7.0,22,9,-0.0,-1.0,6.7,-1.0,2.0,3.4,2,,
13-10-06,Raiders,Chargers,4.5,27,17,2.0,0.0,-5.8,0.0,3.0,-4.9,3,Raiders,W
13-10-06,Rams,Jaguars,-11.5,34,20,0.0,-4.0,0.4,2.0,-4.0,-9.5,-2,,
13-10-06,Titans,Chiefs,3.0,17,26,-4.0,3.0,-5.1,0.0,2.0,0.1,-2,,
13-10-07,Falcons,Jets,-10.0,28,30,1.0,-2.0,2.4,4.0,2.0,-6.3,1,,
13-10-10,Bears,Giants,-7.5,27,21,1.0,-2.0,0.2,4.0,-5.0,2.3,-1,,
13-10-13,49ers,Cardinals,-10.5,32,20,-4.0,1.0,6.6,-1.0,3.0,-2.9,-1,,
13-10-13,Bills,Bengals,6.0,24,27,1.0,1.0,-6.5,0.0,2.0,0.1,0,,
13-10-13,Broncos,Jaguars,-26.5,35,19,-0.0,3.0,10.5,3.0,-5.0,-9.1,-4,Jaguars,W
13-10-13,Browns,Lions,2.5,17,31,-1.0,1.0,-6.5,-0.0,1.0,0.9,-2,,
13-10-13,Buccaneers,Eagles,2.5,20,31,0.0,-2.0,-2.7,-4.0,-1.0,3.3,0,,
13-10-13,Chiefs,Raiders,-8.5,24,7,-1.0,3.0,2.8,-5.0,1.0,-7.5,1,,
13-10-13,Cowboys,Redskins,-5.5,31,16,0.0,3.0,1.1,-2.0,-2.0,-1.1,-2,,
