date,home,away,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
16-09-08,Broncos,Panthers,3.0,21,20,-2.0,0.0,1.6,2.0,0.0,9.1,-3,Panthers,L
16-09-11,Texans,Bears,-4.5,23,14,4.0,0.0,-0.8,3.0,0.0,-0.6,-1,,
16-09-11,Cardinals,Patriots,-6.0,21,23,6.0,0.0,8.8,1.0,0.0,7.5,-1,,
16-09-11,Falcons,Buccaneers,-3.0,24,31,1.0,0.0,-0.9,1.0,0.0,0.7,-1,,
16-09-11,Titans,Vikings,3.5,16,25,-0.0,-0.0,-4.6,0.0,0.0,2.2,-1,,
16-09-11,Saints,Raiders,-1.0,34,35,-1.0,0.0,-2.0,-1.0,0.0,-0.5,-1,,
16-09-11,Colts,Lions,-4.5,35,39,0.0,0.0,-2.8,-3.0,0.0,0.5,0,,
16-09-11,Ravens,Bills,-3.0,13,7,2.0,0.0,-9.7,-2.0,0.0,1.1,1,,
16-09-11,Jaguars,Packers,4.5,23,27,3.0,0.0,-3.2,-1.0,0.0,3.8,1,,
16-09-11,Cowboys,Giants,0.0,19,20,4.0,0.0,-0.5,-1.0,0.0,-0.2,1,,
16-09-11,Chiefs,Chargers,-7.0,33,27,1.0,0.0,3.8,-4.0,0.0,-2.9,1,,
16-09-11,Eagles,Browns,-6.0,29,10,1.0,0.0,0.2,1.0,0.0,-9.2,1,,
16-09-11,Jets,Bengals,2.0,22,23,2.0,0.0,5.0,2.0,0.0,-4.6,1,,
16-09-11,,Dolphins,-10.5,12,10,2.0,0.0,9.1,0.0,0.0,-3.8,2,,
16-09-12,Redskins,,3.0,16,38,0.0,0.0,0.6,1.0,0.0,-0.3,0,,
16-09-12,49ers,Rams,2.5,28,0,1.0,0.0,-7.3,-1.0,0.0,-0.5,1,,
16-09-15,Bills,Jets,0.0,31,37,-1.0,-1.0,-6.0,0.0,1.0,-4.1,0,,
16-09-18,Texans,Chiefs,-2.0,19,12,0.0,1.0,-0.6,1.0,-1.0,4.3,-4,Chiefs,L
16-09-18,,Bengals,-3.5,24,16,-1.0,1.0,3.3,-0.0,-1.0,0.7,-4,Bengals,L
16-09-18,Lions,Titans,-6.0,15,16,-0.0,1.0,-1.6,3.0,-1.0,-4.3,-4,Titans,W
16-09-18,Giants,Saints,-4.5,16,13,1.0,1.0,-2.3,1.0,-1.0,-1.6,-3,Saints,W
16-09-18,Raiders,Falcons,-4.5,28,35,-1.0,1.0,0.4,-1.0,-1.0,-0.2,-3,Falcons,W
16-09-18,Patriots,Dolphins,-6.5,31,24,2.0,1.0,7.6,-2.0,1.0,1.0,3,Patriots,W
16-09-18,Panthers,49ers,-13.5,46,27,-2.0,-1.0,9.8,-1.0,1.0,-6.2,3,Panthers,W
