date,home,away,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
15-09-10,Patriots,,-7.0,28,21,1.0,0.0,9.6,2.0,0.0,4.6,-1,,
15-09-13,Bears,Packers,6.5,23,31,-1.0,0.0,-7.7,-3.0,0.0,2.2,-1,,
15-09-13,Bills,Colts,1.0,27,14,1.0,0.0,4.9,2.0,0.0,5.5,1,,
15-09-13,Broncos,Ravens,-4.5,19,13,-1.0,0.0,9.3,1.0,0.0,5.6,-3,Ravens,L
15-09-13,Buccaneers,Titans,-3.0,14,42,-2.0,0.0,-8.1,1.0,0.0,-5.2,-3,Titans,W
15-09-13,Cardinals,Saints,-2.5,31,19,-0.0,-0.0,-3.7,2.0,0.0,-0.2,-2,,
15-09-13,Chargers,Lions,-3.5,33,28,3.0,0.0,3.3,2.0,0.0,-2.4,1,,
15-09-13,Cowboys,Giants,-6.0,27,26,-0.0,-0.0,0.6,0.0,0.0,-1.4,-1,,
15-09-13,Jaguars,Panthers,3.0,9,20,-2.0,0.0,-6.0,3.0,0.0,-2.0,-3,Panthers,W
15-09-13,Jets,Browns,-3.5,31,10,-0.0,-0.0,-2.4,2.0,0.0,-3.5,-2,,
15-09-13,Raiders,Bengals,3.0,13,33,1.0,0.0,-3.2,-0.0,-0.0,3.9,0,,
15-09-13,Rams,,3.5,34,31,1.0,0.0,-2.1,-1.0,0.0,6.2,1,,
15-09-13,Redskins,Dolphins,4.0,10,17,3.0,0.0,-7.4,0.0,0.0,1.3,0,,
15-09-13,Texans,Chiefs,1.0,20,27,2.0,0.0,0.2,-3.0,0.0,2.4,1,,
15-09-14,49ers,Vikings,2.5,20,3,-3.0,0.0,1.1,1.0,0.0,-3.7,-1,,
15-09-14,Falcons,Eagles,3.0,26,24,3.0,0.0,-2.6,-0.0,-0.0,1.0,0,,
15-09-17,Chiefs,Broncos,-3.0,24,31,-2.0,1.0,2.3,-1.0,1.0,8.2,-1,,
15-09-20,Bears,Cardinals,2.0,23,48,1.0,-1.0,-6.3,0.0,1.0,-3.6,2,,
15-09-20,Bengals,Chargers,-3.0,24,19,-2.0,1.0,3.3,1.0,1.0,0.3,-1,,
15-09-20,Bills,Patriots,0.0,32,40,-3.0,1.0,1.7,-1.0,0.0,9.7,-2,,
15-09-20,Browns,Titans,1.5,28,14,4.0,-1.0,-2.9,-1.0,1.0,-7.4,5,Browns,W
15-09-20,Eagles,Cowboys,-5.0,10,20,-0.0,-1.0,2.7,3.0,-1.0,2.2,-2,,
15-09-20,Giants,Falcons,-2.5,20,24,-3.0,1.0,-0.7,0.0,1.0,-3.3,0,,
15-09-20,Jaguars,Dolphins,5.5,23,20,2.0,-1.0,-7.7,-1.0,1.0,1.8,3,Jaguars,W
15-09-20,Packers,Seahawks,-3.5,27,17,-1.0,1.0,3.1,-2.0,-1.0,6.5,-3,Seahawks,L
15-09-20,Panthers,Texans,-3.0,24,17,-2.0,1.0,-1.7,2.0,-1.0,-1.7,-5,Texans,L
15-09-20,Raiders,Ravens,6.0,37,33,2.0,-1.0,-2.8,1.0,-1.0,6.6,-1,,
15-09-20,Redskins,Rams,3.0,24,10,1.0,-1.0,-5.2,2.0,1.0,-0.1,1,,
15-09-20,Saints,Buccaneers,-9.5,19,26,-0.0,-1.0,-3.0,1.0,-1.0,-7.5,-2,,
15-09-20,Steelers,49ers,-5.5,43,18,1.0,0.0,5.6,0.0,1.0,-4.1,3,Steelers,W
15-09-20,Vikings,Lions,-2.5,26,16,-0.0,-1.0,1.2,-1.0,-1.0,-0.2,0,,
15-09-21,Colts,Jets,-7.0,7,20,3.0,-1.0,5.5,-4.0,1.0,-2.4,5,Colts,L
15-09-24,Giants,Redskins,-4.0,32,21,1.0,0.0,-0.9,1.0,0.0,-7.0,1,,
15-09-27,Browns,Raiders,-3.5,20,27,-3.0,0.0,-5.0,-1.0,0.0,-5.9,-1,,
15-09-27,Cardinals,49ers,-6.5,47,7,-0.0,2.0,1.3,1.0,0.0,-2.9,-3,49ers,L
15-09-27,Cowboys,Falcons,1.0,28,39,-1.0,0.0,2.6,-1.0,2.0,-0.6,2,,
15-09-27,Dolphins,Bills,-3.0,14,41,-0.0,-0.0,0.6,1.0,0.0,0.4,-2,,
15-09-27,Jets,Eagles,-2.0,17,24,-4.0,2.0,-2.7,1.0,-2.0,4.8,-5,Eagles,W
15-09-27,Lions,Broncos,3.0,12,24,2.0,-2.0,1.5,-4.0,2.0,3.9,5,Lions,L
15-09-27,Panthers,Saints,-8.0,27,22,0.0,2.0,-1.2,1.0,-2.0,3.1,-4,Saints,W
15-09-27,Patriots,Jaguars,-13.5,51,17,-1.0,1.0,4.5,0.0,0.0,-7.6,-3,Jaguars,L
15-09-27,Rams,,0.0,6,12,-1.0,0.0,-1.4,-1.0,1.0,0.0,0,,
15-09-27,Ravens,Bengals,-2.5,24,28,1.0,-2.0,2.8,-1.0,2.0,0.9,3,Ravens,L
15-09-27,,Bears,-14.5,26,0,1.0,-2.0,4.5,0.0,-2.0,-4.0,0,,
15-09-27,Texans,Buccaneers,-6.5,19,9,-0.0,-2.0,-0.9,-1.0,0.0,-2.8,1,,
15-09-27,Titans,Colts,3.5,33,35,3.0,0.0,-1.3,4.0,-2.0,2.2,-2,,
