date,home,away,line,system_num,system_bet,result,last_cover,cards,kicking,red_zone,long_haul,tour_leg2,derby,big_line,line_move
2026-09-25,Benetton,Dragons,-9.5,-3,Dragons,W,0,1,0,0,0,0,0,0,0
2026-09-25,Connacht,Stormers,-6.5,-2,,,0,-1,-1,0,1,0,0,0,-1
2026-09-25,Ulster,Edinburgh,-11.5,-2,,,-1,-1,1,-1,0,0,0,0,0
2026-09-26,Lions,Leinster,-7.5,1,,,1,1,-1,1,1,0,0,0,-1
2026-09-26,Munster,Glasgow,3.5,3,Munster,,1,1,0,1,0,0,0,0,1
2026-09-26,Scarlets,Cardiff,1.5,-1,,,0,0,1,0,0,0,1,0,0
2026-09-26,Sharks,Ospreys,-10.5,-1,,,-1,-1,1,0,1,0,0,0,1
2026-09-26,Zebre,Bulls,11.5,-3,Bulls,,0,0,1,-1,1,0,0,0,0
