date,round,home,away,opening_line,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
2025-12-20,7,Ospreys,Munster,,7.0,10,26,-2.0,0.0,-7.7,2.0,-2.0,7.8,-4,Munster,W
2025-12-20,7,Sharks,Bulls,,2.0,21,12,10.0,-4.0,2.1,7.0,0.0,5.6,0,,
2025-12-20,7,Stormers,Lions,,-15.0,34,27,-2.0,6.0,3.3,-7.0,0.0,-3.0,-2,,
2025-12-26,8,Cardiff,Dragons,,-13.5,22,19,7.0,1.0,-6.4,-6.0,3.0,-14.7,1,,
2025-12-26,8,Scarlets,Ospreys,,-5.5,19,26,-7.0,2.0,-9.2,-3.0,-1.0,-7.5,-3,Ospreys,W
2025-12-27,8,Connacht,Ulster,,4.0,24,29,6.0,0.0,1.6,1.0,4.0,5.6,2,,
2025-12-27,8,Edinburgh,Glasgow,,5.5,3,21,-2.0,1.0,3.6,2.0,-2.0,9.8,-5,Glasgow,W
2025-12-27,8,Munster,Leinster,,5.5,8,13,3.0,-1.0,6.2,-1.0,-3.0,11.5,3,Munster,W
2025-12-27,8,Zebre,Benetton,,5.0,23,37,-10.0,-3.0,-9.1,10.0,-3.0,-2.8,-3,Benetton,W
2026-01-01,9,Dragons,Scarlets,,2.5,28,5,-6.0,4.0,-14.8,14.0,1.0,-8.9,-3,Scarlets,L
2026-01-01,9,Ospreys,Cardiff,,-4.5,33,22,-14.0,0.0,-9.6,6.0,0.0,-6.4,-3,Cardiff,L
2026-01-02,9,Ulster,Munster,,-8.5,28,3,-3.0,5.0,9.0,6.0,0.0,4.1,-4,Munster,L
2026-01-03,9,Benetton,Edinburgh,,-9.0,14,15,-3.0,-2.0,0.3,2.0,0.0,2.0,-2,,
2026-01-03,9,Glasgow,Zebre,,-24.5,47,10,-2.0,-1.0,11.1,3.0,-4.0,-8.2,-3,Zebre,L
2026-01-03,9,Leinster,Connacht,,-19.5,52,17,-6.0,-4.0,13.9,3.0,-1.0,0.3,-3,Connacht,L
2026-01-03,9,Sharks,Lions,,-12.5,22,23,5.0,-3.0,-0.5,-2.0,1.0,-3.1,3,Sharks,L
2026-01-03,9,Stormers,Bulls,,-9.5,13,8,2.0,5.0,4.4,-5.0,-1.0,6.3,-1,,
2026-01-23,10,Edinburgh,Bulls,,-2.5,17,19,-13.0,1.0,2.6,-6.0,0.0,-1.3,0,,
2026-01-23,10,Munster,Dragons,,-16.0,22,20,-1.0,-1.0,6.3,-5.0,5.0,-14.0,3,Munster,L
2026-01-23,10,Ospreys,Lions,,-5.5,24,24,5.0,1.0,-7.3,-8.0,2.0,-10.9,1,,
2026-01-24,10,Cardiff,Benetton,,-7.5,17,8,-5.0,-1.0,-6.3,13.0,-3.0,4.8,-3,Benetton,L
