date,round,home,away,opening_line,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
2026-09-25,1,Benetton,Dragons,-9.5,-9.5,19,19,-1.0,0.0,-5.7,5.0,0.0,-9.7,-3,Dragons,W
2026-09-25,1,Connacht,Stormers,-1.5,-6.5,15,29,0.0,0.0,2.7,2.0,0.0,7.5,-2,,
2026-09-25,1,Ulster,Edinburgh,-11.5,-11.5,29,34,0.0,0.0,-3.2,5.0,0.0,-5.8,-2,,
2026-09-26,1,Lions,Leinster,7.5,-7.5,,,5.0,0.0,6.4,-7.0,0.0,11.3,1,,
2026-09-26,1,Munster,Glasgow,-2.5,3.5,,,4.0,0.0,7.5,-2.0,0.0,7.6,3,Munster,
2026-09-26,1,Scarlets,Cardiff,1.5,1.5,,,-5.0,0.0,-8.0,-1.0,0.0,-5.2,-1,,
2026-09-26,1,Sharks,Ospreys,-12.5,-10.5,,,9.0,0.0,1.9,5.0,0.0,-5.0,-1,,
2026-09-26,1,Zebre,Bulls,11.5,11.5,,,-9.0,0.0,-15.7,7.0,0.0,13.4,-3,Bulls,
