date,home,away,line,system_num,system_bet,result,last_cover,cards,kicking,red_zone,long_haul,tour_leg2,derby,big_line,line_move
2026-01-03,Sharks,Lions,-12.5,3,Sharks,L,-1,-1,0,-1,0,0,-1,0,0
2026-01-03,Stormers,Bulls,-9.5,-1,,,-1,-1,0,-1,0,0,-1,0,0
2026-01-23,Edinburgh,Bulls,-2.5,0,,,-1,-1,0,0,1,0,0,0,0
2026-01-23,Munster,Dragons,-16.0,3,Munster,L,1,1,0,1,0,0,0,1,0
2026-01-23,Ospreys,Lions,-5.5,1,,,1,-1,0,-1,1,0,0,0,0
2026-01-24,Cardiff,Benetton,-7.5,-3,Benetton,L,-1,0,1,1,0,0,0,0,0
2026-01-24,Connacht,Leinster,8.0,1,,,1,-1,-1,1,0,0,1,0,0
2026-01-24,Scarlets,Ulster,7.5,0,,,1,1,0,1,0,0,0,0,0
2026-01-24,Stormers,Sharks,-11.0,-3,Sharks,W,-1,0,-1,0,0,0,-1,0,0
2026-01-24,Zebre,Glasgow,20.5,0,,,1,1,1,1,0,0,0,-1,0
2026-01-30,Benetton,Scarlets,-11.5,1,,,1,-1,1,1,0,0,0,0,0
2026-01-30,Glasgow,Munster,-5.0,-1,,,0,0,0,-1,0,0,0,0,0
2026-01-31,Leinster,Edinburgh,-7.0,0,,,0,0,-1,0,0,0,0,0,0
2026-01-31,Lions,Bulls,5.0,-1,,,0,0,0,-1,0,0,1,0,0
2026-01-31,Ospreys,Dragons,-6.0,2,,,1,-1,1,1,0,0,-1,0,0
2026-01-31,Sharks,Stormers,2.5,-1,,,-1,-1,-1,-1,0,0,1,0,0
2026-01-31,Ulster,Cardiff,-11.5,-2,,,1,-1,1,1,0,0,0,0,0
2026-01-31,Zebre,Connacht,5.5,-3,Connacht,W,-1,1,-1,0,0,0,0,0,0
2026-02-21,Lions,Sharks,-6.0,-3,Sharks,L,1,0,-1,1,0,0,-1,0,0
2026-02-27,Cardiff,Leinster,6.5,-3,Leinster,L,0,1,1,0,0,0,0,0,0
2026-02-27,Edinburgh,Scarlets,-12.0,1,,,1,1,1,-1,0,0,0,0,0
2026-02-28,Bulls,Sharks,-13.0,-5,Sharks,L,-1,1,0,-1,0,0,-1,0,0
2026-02-28,Connacht,Glasgow,-3.0,-2,,,-1,0,0,-1,0,0,0,0,0
2026-02-28,Dragons,Benetton,-3.5,-5,Benetton,W,-1,1,0,1,0,0,0,0,0
2026-02-28,Lions,Stormers,5.5,-1,,,-1,0,-1,-1,0,0,1,0,0
2026-02-28,Munster,Zebre,-24.5,-3,Zebre,W,-1,0,0,-1,0,0,0,1,0
2026-02-28,Ospreys,Ulster,6.5,0,,,0,-1,-1,0,0,0,0,0,0
2026-03-13,Connacht,Scarlets,-8.5,1,,,0,1,1,-1,0,0,0,0,0
2026-03-13,Edinburgh,Ulster,1.0,1,,,-1,0,0,-1,0,0,0,0,0
2026-03-14,Bulls,Stormers,-9.5,-3,Stormers,W,-1,1,1,-1,0,0,-1,0,0
2026-03-20,Bulls,Cardiff,-19.5,1,,,1,0,-1,0,1,0,0,1,0
2026-03-20,Scarlets,Zebre,-16.0,-1,,,1,-1,-1,1,0,0,0,1,0
2026-03-20,Ulster,Connacht,-12.0,-1,,,-1,1,-1,0,0,0,-1,0,0
2026-03-21,Benetton,Ospreys,-7.0,3,Benetton,W,1,0,1,0,0,0,0,0,0
2026-03-21,Glasgow,Leinster,2.5,-1,,,0,-1,0,1,0,0,0,0,0
2026-03-21,Lions,Edinburgh,-12.0,-4,Edinburgh,L,-1,1,0,-1,1,0,0,0,0
2026-03-21,Sharks,Munster,-6.5,-1,,,0,1,-1,0,1,0,0,0,0
2026-03-22,Stormers,Dragons,-30.5,-1,,,-1,-1,1,-1,1,0,0,1,0
2026-03-27,Glasgow,Benetton,-17.5,-2,,,-1,0,-1,0,0,0,0,1,0
2026-03-27,Leinster,Scarlets,-25.0,3,Leinster,L,1,1,-1,1,0,0,0,1,0
2026-03-27,Sharks,Cardiff,-18.0,2,,,-1,-1,0,-1,1,1,0,1,0
2026-03-28,Bulls,Munster,-14.5,-2,,,-1,-1,0,-1,1,1,0,1,0
2026-03-28,Connacht,Ospreys,-10.5,-4,Ospreys,W,-1,0,1,-1,0,0,0,0,0
2026-03-28,Lions,Dragons,-17.0,-1,,,0,1,0,0,1,1,0,1,0
2026-03-28,Stormers,Edinburgh,-17.5,-3,Edinburgh,L,0,1,0,0,1,1,0,1,0
2026-03-28,Zebre,Ulster,11.5,1,,,-1,1,-1,0,0,0,0,0,0
2026-04-17,Dragons,Bulls,14.5,1,,,-1,0,0,0,1,0,0,-1,0
2026-04-17,Edinburgh,Zebre,-16.5,-2,,,0,-1,-1,0,0,0,0,1,0
